No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11.0,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,5,Oregon
4.0,Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,7,
30.0,Sam Hauser,PF,6-7,217,"December 8, 1997",us US,4,"Marquette, Virginia"
7.0,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,9,California
9.0,Derrick White,SG,6-4,190,"July 2, 1994",us US,8,"Colorado-Colorado Springs, Colorado"
8.0,Josh Minott,PF,6-8,205,"November 25, 2002",us US,3,Memphis
88.0,Neemias Queta,C,7-0,248,"July 13, 1999",pt PT,4,Utah State University
27.0,Jordan Walsh,PF,6-6,205,"March 3, 2004",us US,2,Arkansas
55.0,Baylor Scheierman,SG,6-6,205,"September 26, 2000",us US,1,"South Dakota State, Creighton"
28.0,Hugo González,SF,6-6,200,"February 5, 2006",es ES,R,
52.0,Luka Garza,C,6-10,243,"December 27, 1998",us US,4,Iowa
26.0,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,5,Michigan State
99.0,Chris Boucher,PF,6-8,200,"January 11, 1993",lc LC,8,"New Mexico Junior College, Northwest College, Oregon"
77.0,Amari Williams (TW),PF,6-11,250,"January 28, 2002",gb GB,R,"Drexel, Kentucky"
13.0,Ron Harper Jr. (TW),SF,6-5,233,"April 12, 2000",us US,3,Rutgers University
,Max Shulga (TW),SG,6-4,210,"June 25, 2002",ua UA,R,"Utah State University, VCU"
,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,8,Duke
