Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,229,170,228,1,0,0,229,0,0,,0,,130,612,390,0,0,0,0,0,104,0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,315,8,33,113,178,32,314,34,15,44.1,15,44.1,177,1307,672,22,12,10,17,14,192,40,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,451,26,136,183,135,6,451,16,7,43.8,6,37.5,238,1260,689,16,18,1,3,6,262,44,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,548,70,242,272,36,8,548,1,1,100.0,0,0.0,317,1492,977,4,2,0,4,2,344,2,Matches
Evanilson,br BRA,FW,26-012,6.8,167,5,15,74,79,32,167,10,3,30.0,1,10.0,91,397,155,4,4,3,15,5,111,21,Matches
Tyler Adams,us USA,MF,26-246,6.7,421,22,114,252,60,4,421,6,2,33.3,3,50.0,212,999,499,3,7,0,7,1,240,4,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,387,30,162,211,14,5,387,1,0,0.0,1,100.0,194,879,504,1,1,0,4,0,237,2,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,288,8,41,119,135,25,288,25,9,36.0,15,60.0,164,906,382,17,11,4,11,13,200,37,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,267,1,39,94,140,21,267,16,7,43.8,7,43.8,157,1004,563,15,12,6,11,4,193,46,Matches
Alex Scott,eng ENG,MF,22-058,5.0,318,11,57,171,94,5,318,13,4,30.8,6,46.2,161,923,410,12,11,2,8,3,198,15,Matches
Adam Smith,eng ENG,DF,34-172,2.3,106,6,25,61,20,2,106,1,0,0.0,0,0.0,32,121,61,1,2,1,3,0,56,2,Matches
James Hill,eng ENG,DF,23-281,2.9,168,8,51,93,25,4,168,0,0,,0,,67,242,124,3,1,0,2,0,86,8,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,120,6,29,62,30,4,120,2,2,100.0,0,0.0,63,356,204,8,6,2,2,2,71,4,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,94,1,6,38,52,8,94,7,4,57.1,3,42.9,51,332,226,7,5,1,2,3,59,13,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,127,6,23,62,43,5,127,9,2,22.2,5,55.6,73,343,172,4,4,1,3,3,85,5,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,107,2,23,35,52,5,107,7,3,42.9,4,57.1,56,336,205,3,4,0,2,2,58,17,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,57,9,31,21,5,3,57,0,0,,0,,34,146,74,0,0,0,0,0,33,0,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,20,2,4,3,13,3,20,3,0,0.0,3,100.0,14,124,49,2,3,3,0,0,16,4,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,16,1,2,4,10,4,16,1,0,0.0,1,100.0,11,39,18,1,0,1,2,0,11,1,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,7,1,6,0,1,0,7,1,0,0.0,1,100.0,1,2,0,0,0,0,0,0,0,0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,4,1,1,3,0,0,4,0,0,,0,,3,7,0,0,0,0,0,1,3,0,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,7.0,4219,395,1269,1873,1122,176,4218,153,59,38.6,71,46.4,2246,11827,6374,123,103,35,96,59,2559,265,
Opponent Total,,,27.2,7.0,4065,526,1519,1681,909,154,4065,141,62,44.0,57,40.4,2073,11009,5360,108,63,37,112,69,2421,226,
