Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
João Gomes,br BRA,MF,24-248,6.7,0,3,0,0.0,0.45,0.0,0.0,,23.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,0,6,2,33.3,1.03,0.34,0.0,0.0,22.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,0,6,2,33.3,1.04,0.35,0.0,0.0,13.6,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
André,br BRA,MF,24-094,4.9,0,1,0,0.0,0.2,0.0,0.0,,33.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Toti Gomes,pt POR,DF,26-275,4.3,0,2,1,50.0,0.46,0.23,0.0,0.0,8.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,0,2,1,50.0,0.41,0.2,0.0,0.0,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,0,8,3,37.5,1.99,0.75,0.0,0.0,12.0,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,1,3,3,100.0,0.75,0.75,0.33,0.33,10.5,0,0,0,0.8,0.8,0.26,0.2,0.2,Matches
José Sá,pt POR,GK,32-274,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jhon Arias,co COL,FW,28-027,4.0,0,7,2,28.6,1.75,0.5,0.0,0.0,19.4,1,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,1,5,2,40.0,1.62,0.65,0.2,0.5,18.2,0,0,0,0.6,0.6,0.13,0.4,0.4,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,1,1,1,100.0,0.3,0.3,1.0,1.0,3.4,0,0,0,0.8,0.8,0.75,0.2,0.2,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,0,6,1,16.7,2.12,0.35,0.0,0.0,22.9,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,0,1,0,0.0,0.4,0.0,0.0,,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,1,7,2,28.6,3.8,1.08,0.14,0.5,14.9,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,0,3,1,33.3,1.66,0.55,0.0,0.0,9.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,0,2,1,50.0,1.31,0.66,0.0,0.0,14.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,0,3,1,33.3,2.57,0.86,0.0,0.0,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.9,7.0,4,66,23,34.8,9.43,3.29,0.06,0.17,16.6,3,0,0,6.1,6.1,0.09,-2.1,-2.1,
Opponent Total,,,27.0,7.0,14,88,29,33.0,12.57,4.14,0.16,0.48,18.6,6,0,0,9.4,9.4,0.11,4.6,4.6,
